Genus,NP-051-505-719_F_filt.fastq.gz,NP-052-506-719_F_filt.fastq.gz,NP-053-507-719_F_filt.fastq.gz,NP-054-508-719_F_filt.fastq.gz,NP-055-510-719_F_filt.fastq.gz,NP-056-511-720_F_filt.fastq.gz,NP-057-513-720_F_filt.fastq.gz,NP-058-515-720_F_filt.fastq.gz,NP-059-516-720_F_filt.fastq.gz,NP-060-517-720_F_filt.fastq.gz,NP-061-518-720_F_filt.fastq.gz,NP-062-520-721_F_filt.fastq.gz,NP-063-521-720_F_filt.fastq.gz,NP-064-522-720_F_filt.fastq.gz,NP-065-502-720_F_filt.fastq.gz,,Shewanella,Aeromonas,Deefgea,Clostridum SS1,,
Rhizobacter,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,
Terrisporobacter,1,0,0,1,1,0,0,1,34,0,0,42,0,16,3,,,,,,,
Gemmobacter,0,1,0,0,0,0,0,3,0,1,5,0,0,39,0,,,,,,,
Sphingomonas,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,,,,,,
Pedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Paenicardinium,0,28,13,0,0,9,7,10,7,0,0,0,0,8,31,,,,,,,
Rhodoferax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kluyvera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Erythrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Brevundimonas,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,,,,,,,
Aliivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Salinimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
hgcI_clade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Georgfuchsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodobacter,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Lactococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polynucleobacter,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,
Paucibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Apibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Luteolibacter,0,0,0,0,0,0,3,1,0,3,21,0,0,3,5,,,,,,,
Neorickettsia,0,7,0,0,0,0,36,39,0,0,0,0,0,0,0,,,,,,,
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Moritella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Peptoniphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,
Sporocytophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodoluna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Weissella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rothia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoalteromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Yersinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cloacibacterium,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,,,,,,,
Novosphingobium,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,
Bacillus,1,1,0,0,0,0,30,4,0,0,0,2,14,0,0,,,,,,,
Paraclostridium,1,0,0,3,0,0,0,0,8,1,0,0,0,0,1,,,,,,,
Lacihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudorhodobacter,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,,,,,,,
Legionella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polaromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jeotgalibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cetobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polymorphobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Flectobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Phenylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dinghuibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudarcicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Lumbricincola,8,0,0,0,0,1,0,0,1,0,2,0,0,0,0,,,,,,,
Bergeyella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Duganella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Methylopumilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Corynebacterium,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,,,,,,,
Ideonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Massilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Noviherbaspirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aurantimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,
Pelomonas,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,
Sphingobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Porphyrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Silanimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Caulobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Zoogloea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Psychrilyobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haemophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Tenderia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Runella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neochlamydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aliidiomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingorhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Streptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,
Sphingopyxis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pajaroellobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Terrimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ralstonia,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,
Brevifollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Corynebacterium_1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,,,,,,,
Ferribacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ferruginibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_9,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,,,,,,,
Flavihumibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
UKL13-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Atlantibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Peredibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Limnobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Iodobacter,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,,,,,,,
Clostridium_sensu_stricto_13,0,0,0,2,0,0,0,0,4,1,0,6,0,0,0,,,,,,,
Chroococcidiopsis_SAG_2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pantoea,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,,,,,,,
Dolosigranulum,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,
Staphylococcus,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,,,,,,,
Nitrospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bosea,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,
Oligoflexus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rubellimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,
Candidatus_Omnitrophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tepidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Solitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cytophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Borreliella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bifidobacterium,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,,,,,,,
Pseudoduganella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lysobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Proteiniphilum,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,,,,,,,
Prosthecobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aquibacillus,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,,,,,,,
Haliscomenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Epulopiscium,0,0,0,7,0,0,0,0,11,0,0,0,0,0,5,,,,,,,
Enterococcus,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,,,,,,,
Flexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Azomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,
Dyadobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Moheibacter,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,,,,,,,
Sandaracinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MIZ17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
BD1-7_clade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Idiomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Buttiauxella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cephaloticoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Macrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bdellovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cupriavidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gallionella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aphanizomenon_NIES81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Reyranella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Megasphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ciceribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudarthrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,
Anaerococcus,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,
Phaselicystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Coxiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Perlucidibaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cellvibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Defluviimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Leucobacter,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,
Delftia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Afipia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylotenera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Verrucomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Planktophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Caenimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Planomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bradyrhizobium,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
WCHB1-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Enhydrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,
Fusobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lysinibacillus,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Inhella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Homoserinimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
GKS98_freshwater_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kosakonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tepidiphilus,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,,
MND1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Thermomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodonellum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sporanaerobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
OM27_clade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aquabacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoruegeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
Finegoldia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Peptostreptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Finniella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,
Empedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Porphyromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dialister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fluviicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Paracaedibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paenarthrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Denitratisoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nevskia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gemella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
OLB12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Crocinitomix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alishewanella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chitinibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,,
Subdoligranulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Glutamicibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lutispora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cutibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudohongiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Roseicitreum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Psychromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Leuconostoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Anaerosporobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rahnella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haliangium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chthoniobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aliihoeflea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tropicimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nosocomiicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Comamonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fodinicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hyphomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hydrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rickettsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Propionibacterium,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,
Myroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
S5-A14a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Azospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oleispira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Carnobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cereibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Nucleicultrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kushneria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prevotella_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SM1A02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Basilea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Xenophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hymenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Marivita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Knoellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bacteriovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylocaldum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Halodurantibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylibium,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,
Huakuichenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Marinilactibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vagococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
